

------ ******* ------ New Log ------ ******* ------
./experiments/PAT_Res18_cifar10_CSAFR_top2_beta1/nets/ckp_latest.pt


{'is_joint': False, 'logit_index': 0, 'beta_atk': None}
# attack type: GradientSignAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 58.91%

{'is_joint': False, 'logit_index': 1, 'beta_atk': None}
# attack type: GradientSignAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 59.38%

{'is_joint': False, 'logit_index': 2, 'beta_atk': None}
# attack type: GradientSignAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 58.56%

{'is_joint': True, 'logit_index': None, 'beta_atk': 0.1}
# attack type: GradientSignAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 58.15%

{'is_joint': True, 'logit_index': None, 'beta_atk': 1}
# attack type: GradientSignAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 58.15%

{'is_joint': True, 'logit_index': None, 'beta_atk': 100}
# attack type: GradientSignAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 58.49%

{'is_joint': True, 'logit_index': None, 'beta_atk': 2}
# attack type: GradientSignAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 58.16%

{'is_joint': False, 'logit_index': 0, 'beta_atk': None}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=20, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 51.33%

{'is_joint': False, 'logit_index': 1, 'beta_atk': None}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=20, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 53.57%

{'is_joint': False, 'logit_index': 2, 'beta_atk': None}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=20, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 51.39%

{'is_joint': True, 'logit_index': None, 'beta_atk': 0.1}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=20, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 50.50%

{'is_joint': True, 'logit_index': None, 'beta_atk': 1}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=20, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 50.55%

{'is_joint': True, 'logit_index': None, 'beta_atk': 100}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=20, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 50.75%

{'is_joint': True, 'logit_index': None, 'beta_atk': 2}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=20, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 50.50%

{'is_joint': False, 'logit_index': 0, 'beta_atk': None}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=100, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 48.73%

{'is_joint': False, 'logit_index': 1, 'beta_atk': None}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=100, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 51.50%

{'is_joint': False, 'logit_index': 2, 'beta_atk': None}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=100, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 49.69%

{'is_joint': True, 'logit_index': None, 'beta_atk': 0.1}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=100, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 48.37%

{'is_joint': True, 'logit_index': None, 'beta_atk': 1}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=100, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 48.36%

{'is_joint': True, 'logit_index': None, 'beta_atk': 100}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=100, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 48.45%

{'is_joint': True, 'logit_index': None, 'beta_atk': 2}
# attack type: LinfPGDAttack
# attack kwargs: loss_fn=joint_CE_loss(), eps=0.03137254901960784, nb_iter=100, eps_iter=0.0031372549019607846, rand_init=False, clip_min=0.0, clip_max=1.0, targeted=False, 
#
# accuracy: 82.34%
# defending rate: 48.35%

